##############################################################################################################################################################################################################
# PDG MC Codes and Data
# mass and width(gamma) are in GeV.
# not all the mass/width are correct, uncertainties dMass and dWidth are missing.
##########################################################################################################################################################################################################################################################
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
##############################################################################################################################################################################################################
# Quarks
##############################################################################################################################################################################################################
b11235plus                    b{1}^{+}(1235)                          10113     1.000       1.229500       0.000000       0.142000       0.000000       1.0       1.0       1.0        10         1         0
b11235zero                    b{1}^{0}(1235)                          10213     0.000       1.229500       0.000000       0.142000       0.000000       1.0       1.0       0.0        11        11         0
b11235minus                   b{1}^{-}(1235)                         -10113    -1.000       1.229500       0.000000       0.142000       0.000000       1.0       1.0      -1.0         1        10         0
h11170zero                    h_{1}^{0}(1170)                         10223     0.000       1.170000       0.000000       0.360000       0.000000       1.0       0.0       0.0        11        11         0
phi1020zero                   #phi^{0}(1020)                            333     0.000       1.019417       0.000000       0.004458       0.000000       1.0       0.0       0.0         0         0         0
a00980plus                    a_{0}^{+}(980)                        9000211     1.000       0.984800       0.000000       0.075000       0.000000       0.0       1.0       1.0        10         1         0
a00980minus                   a_{0}^{-}(980)                       -9000211    -1.000       0.984800       0.000000       0.075000       0.000000       0.0       1.0      -1.0         1        10         0
a00980zero                    a_{0}^{0}(980)                        9000111     0.000       0.984800       0.000000       0.075000       0.000000       0.0       1.0       0.0        11        11         0
f00980zero                    f_{0}^{0}(980)                        9010221     0.000       0.980000       0.000000       0.100000       0.000000       0.0       0.0       0.0        11        11         0
eta0prime                     #eta^{0*}                                 331     0.000       0.957780       0.000000       0.000202       0.000000       0.0       0.0       0.0        11        11         0
omega0782zero                 #omega^{0}                                223     0.000       0.782570       0.000000       0.008440       0.000000       1.0       0.0       0.0        11        11         0
rho770plus                    #rho^{+}                                  213     1.000       0.769300       0.000000       0.150200       0.000000       1.0       1.0       1.0        10         1         0
rho770minus                   #rho^{-}                                 -213    -1.000       0.769300       0.000000       0.150200       0.000000       1.0       1.0      -1.0         1        10         0
rho770zero                    #rho^{0}                                  113     0.000       0.769300       0.000000       0.150200       0.000000       1.0       1.0       0.0        11        11         0
f00600zero                    f^{0}(600)                            9000221     0.000       0.800000       0.000000       0.800000       0.000000       0.0       0.0       0.0        11        11         0
eta547zero                    #eta^{0}                                  221     0.000       0.547300       0.000000       0.000001       0.000000       0.0       0.0       0.0        11        11         0
pion0139plus                  #pi^{+}                                   211     1.000       0.139570       0.000000       0.000000       0.000000       0.0       1.0       1.0        10         1         0
pion0139minus                 #pi^{-}                                  -211    -1.000       0.139570       0.000000       0.000000       0.000000       0.0       1.0      -1.0         1        10         0
pion0135zero                  #pi^{0}                                   111     0.000       0.134976       0.000000       0.000000       0.000000       0.0       1.0       0.0        11        11         0
f42340zero                    f_{4}^{0}(2340)                         40225     0.000       2.339000       0.000000       0.319000       0.000000       4.0       0.0       0.0        11        11         0
f22300zero                    f_{2}^{0}(2300)                         30225     0.000       2.297000       0.000000       0.149000       0.000000       2.0       0.0       0.0        11        11         0
#???f42050zero                    f_{4}^{0}(2050)                           229     0.000       2.034000       0.000000       0.222000       0.000000       4.0       0.0       0.0        11        11         0
a42040plus                    a_{4}^{+}(2040)                           219     1.000       2.014000       0.000000       0.361000       0.000000       4.0       1.0       1.0        10         1         0
a42040minus                   a_{4}^{-}(2040)                          -219    -1.000       2.014000       0.000000       0.361000       0.000000       4.0       1.0      -1.0         1        10         0
a42040zero                    a_{4}^{0}(2040)                           119     0.000       2.014000       0.000000       0.361000       0.000000       4.0       1.0       0.0        11        11         0
f22010zero                    f_{2}^{0}(2010)                         20225     0.000       2.011000       0.000000       0.202000       0.000000       2.0       0.0       0.0        11        11         0
phi1850zero                   #phi^{0}(1850)                            337     0.000       1.854000       0.000000       0.087000       0.000000       3.0       0.0       0.0         0         0         0
pion1800plus                  #pi^{+}(1800)                          200111     1.000       1.801000       0.000000       0.210000       0.000000       0.0       1.0       1.0        10         1         0
pion1800minus                 #pi^{-}(1800)                         -200111    -1.000       1.801000       0.000000       0.210000       0.000000       0.0       1.0      -1.0         1        10         0
